표준버스정류장ID,역명,자치구,승차총승객수
105000480,청량리.청과물도매시장(00026),동대문구,1539690
116000099,온수역(00002),구로구,1536673
111000037,녹번역(00054),은평구,1512110
115000001,염창역.서울도시가스(00059),강서구,1509505
102000071,순천향대학병원.한남오거리(00028),용산구,1498264
121000009,신분당선강남역(00032),서초구,1487737
118000070,여의도역6번출구(00011),영등포구,1469547
100000003,명륜3가.성대입구(00025),종로구,1463867
121000008,래미안아파트.파이낸셜뉴스(중)(00054),서초구,1453257
121000013,논현역(00030),서초구,1445368
115000094,까치산역2번출구(00004),강서구,1417788
110000111,노원역1번출구(00015),노원구,1407190
112900230,신촌전철역(00014),서대문구,1407074
102000008,삼각지역(00038),용산구,1403903
112000408,홍제역(중).서대문세무서(00052),서대문구,1403691
100000021,경복궁역3번출구(00030),종로구,1400499
114000057,목동역3번출구.홍익병원(00016),양천구,1383465
113000421,동교동삼거리(00033),마포구,1376960
100000384,광화문역(00023),종로구,1365879
101000002,국가인권위.안중근활동터(00027),중구,1360198
108000006,수유시장.성신여대미아캠퍼스앞(00050),강북구,1357502
120900119,낙성대역(00001),관악구,1356268
112000413,홍제역.3번출구(00013),서대문구,1350521
105000166,장한평역3번출구(00021),동대문구,1339959
123000069,잠실새내역4번출구(00033),송파구,1335892
119000073,숭실대입구역(00012),동작구,1324082
102000226,남산서울타워(00005),용산구,1323536
122000049,현대아파트(00037),강남구,1317748
100000394,종로5가.광장시장(00061),종로구,1312748
100000387,종로1가(00031),종로구,1311793
108900171,미아사거리역.롯데백화점(00002),강북구,1308094
119000072,숭실대입구역(00047),동작구,1299301
113000001,마포역(00021),마포구,1289845
105000447,청량리역환승센터(00037),동대문구,1262682
101000032,북창동.남대문시장(00038),중구,1261452
100000391,종로3가.탑골공원(00029),종로구,1261299
102000010,숙대입구역(00037),용산구,1260369
115000040,가양역8번출구.마포중고교(00024),강서구,1256350
100000133,혜화역.동성중고(장면총리가옥)(00066),종로구,1251875
100000385,광화문역(00032),종로구,1246929
116900161,신도림역2번출구(00001),구로구,1235055
110000183,석계역1번출구A(00010),노원구,1228956
107000005,미아리고개.미아리예술극장(00021),성북구,1227273
100000380,서울역사박물관.경희궁앞(00039),종로구,1227033
111000115,연신내역.로데오거리(00006),은평구,1224647
100000367,동묘앞.서울혜화경찰서(00036),종로구,1207771
112000064,연희동대우아파트(00058),서대문구,1207349
122000094,삼성역7번출구(00026),강남구,1202052
115000095,까치산역4번출구(00011),강서구,1201584
120000048,신림동별빛거리입구(00016),관악구,1196108
123000065,잠실종합운동장(00034),송파구,1195784
118000087,당산역(00026),영등포구,1192484
